ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
30,0000000000;GX;603891,0000000000;7508139,0000000000;229,0000000000;1,0000000000;10,0000000000;509,0000000000;388,4624023400;475,0000000000;1,0000000000;1087,0000000000;1881,0000000000;0,5967742205;0,0991609991;173,7693619728;0,2867047191;-11,5896167760;11671,3222660000;8,1420831680;1,4832643270;372,6889648400;15,7734375000;0,3006836176;-0,0010048769;-0,0050121536
31,0000000000;LA;602084,0000000000;7508038,0000000000;458,0000000000;2,0000000000;9,0000000000;713,0000000000;437,0382995600;898,0000000000;0,0000000000;1312,0000000000;1453,0000000000;0,2360697538;0,1636957228;179,6816615462;0,1132498980;0,2862118185;1759,0692139000;5,7427654266;1,9420406818;387,6256408700;49,4126586910;0,6924566031;0,0016153766;0,0021213167
32,0000000000;CX;602120,0000000000;7508147,0000000000;477,0000000000;2,0000000000;1,0000000000;941,0000000000;420,3299865700;1227,0000000000;7,0000000000;1632,0000000000;2072,0000000000;0,2561382353;0,1696237028;174,9274334908;0,1527292430;-2,9534032345;5996,3037109000;6,9328832626;2,5982215405;385,8774719200;34,4525146480;0,4846996069;-0,0029454182;-0,0220435504
33,0000000000;GX;604468,0000000000;7509305,0000000000;344,0000000000;7,0000000000;2,0000000000;707,0000000000;361,2572937000;610,0000000000;6,0000000000;1583,0000000000;3011,0000000000;0,6630765200;0,0276738610;175,2803897858;0,4177589417;12,9408121110;1175,2962646000;6,8688721657;0,1697510481;356,1941528300;5,0631408691;0,1921016872;-0,0001036116;0,0232143551
34,0000000000;RL;602447,0000000000;7506551,0000000000;357,0000000000;4,0000000000;8,0000000000;594,0000000000;400,7836914100;743,0000000000;3,0000000000;1131,0000000000;1394,0000000000;0,3046326637;0,0723489821;178,4244771004;0,1368222088;9,0252780914;643,9580688500;5,3047256470;0,5244516134;369,4917297400;31,2919616700;0,4379470348;0,0019814791;0,0503694154
35,0000000000;SX;603404,0000000000;7509360,0000000000;465,0000000000;7,0000000000;2,0000000000;863,0000000000;362,8973083500;1011,0000000000;0,0000000000;1578,0000000000;2138,0000000000;0,3578913808;0,0350334570;179,6669803858;0,2074487805;1,9429122210;5590,1586914000;8,4492731094;0,3316455185;359,4579467800;3,4393615723;0,1416608691;-0,0000462831;0,0024658528
36,0000000000;CY;604476,0000000000;7509464,0000000000;258,0000000000;7,0000000000;2,0000000000;523,0000000000;356,3861084000;571,0000000000;4,0000000000;1216,0000000000;2279,0000000000;0,5992982388;0,0120575577;176,8268928528;0,3263694048;-18,4773559570;1658,1510010000;8,2186365128;0,0639552698;356,0171814000;0,3689270020;0,0151861366;0,0000516969;0,0480311550
37,0000000000;CX;603355,0000000000;7507467,0000000000;316,0000000000;1,0000000000;6,0000000000;706,0000000000;370,3598022500;687,0000000000;4,0000000000;1457,0000000000;2332,0000000000;0,5448824167;0,1302571744;176,7796025276;0,3077066839;3,9666738510;1650,6479492000;5,9109573364;1,4277511835;364,0924072300;6,2673950195;0,0886119232;-0,0013150586;0,0043781013
38,0000000000;PA;604171,0000000000;7508231,0000000000;179,0000000000;1,0000000000;11,0000000000;398,0000000000;414,3911132800;550,0000000000;6,0000000000;930,0000000000;1314,0000000000;0,4098712504;0,2691841722;175,3611173630;0,1669580489;-1,7445151806;5377,9243164000;6,3473148346;4,5901765823;364,5687561000;49,8223571780;0,6625874639;-0,0014448285;-0,0028619086
39,0000000000;CX;603719,0000000000;7508558,0000000000;529,0000000000;1,0000000000;6,0000000000;932,0000000000;361,4906616200;1353,0000000000;1,0000000000;1858,0000000000;2137,0000000000;0,2246418297;0,0017457544;179,2146018148;0,1385159046;-49,9000740050;4505844,5000000000;18,3729877470;0,0268514045;361,4906616200;0,0000000000;0,0000000000;-0,0000255584;-0,0439210348
